poi_name,address,lnglat,line_distance_m,real_walk_m,walk_minutes,amap_poi_id,typecode,business_hour_api,avg_cost_api,tag_list_api,poi_tel,amap_detail_url,,,,main_category,secondary_categories
老上海馄炖铺(唐铭广场),荔湾路78号唐铭广场(陈家祠地铁站F口步行480米),"113.244625,23.128325",189,234,3,B0MA1UF8NH,50118,unknown,unknown,"['香菇鲜肉小馄饨,虾仁鲜肉大馄饨,全家福鲜肉小馄饨,韭菜鲜肉小馄饨,三鲜捞化,荠菜鲜肉大馄饨,单人餐,双人餐']",15986328213,https://amap.com/poi/B0MA1UF8NH,,,,food,"[""cantonese_food"",""local_snack""]"
和味煎饺,土兴巷与中山七路交叉口东南80米,"113.245103,23.124984",190,342,5,B0KK29MAPH,50000,unknown,unknown,['煎饺'],[],https://amap.com/poi/B0KK29MAPH,,,,food,"[""cantonese_food"",""local_snack""]"
湘馆主·现炒湖南菜(荔湾店),荔湾路78号唐铭广场F1层,"113.244775,23.128375",191,219,3,B0L12SSVL2,50108,unknown,unknown,[],[],https://amap.com/poi/B0L12SSVL2,,,,food,"[""cantonese_food"",""local_snack""]"
潮茶半盏(陈家祠店),中山七路333号扬韬科技广场2号楼102-1号铺,"113.244889,23.124989",191,320,4,B0KBNDEYE0,50000,unknown,unknown,"['单人餐,双人餐']",18512107689,https://amap.com/poi/B0KBNDEYE0,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
1点点(陈家祠店),中山七路333号(陈家祠地铁站A口步行80米),"113.245251,23.124971",191,357,5,B0K6LUBYR8,50700,unknown,unknown,[],020-86539303,https://amap.com/poi/B0K6LUBYR8,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
山外公·江西小炒(荔湾店),金花街道荔湾路78号唐铭广场自编18号c-20,"113.244917,23.128404",192,208,3,B0LUVCCULK,50100,unknown,unknown,[],13143764996,https://amap.com/poi/B0LUVCCULK,,,,food,"[""cantonese_food"",""local_snack""]"
鸳鸯王(扬韬广场店),中山七路333号扬韬广场遇见小面对面红色餐车,"113.246375,23.125375",192,464,6,B0L6KLP3CP,50000,unknown,unknown,[],[],https://amap.com/poi/B0L6KLP3CP,,,,food,"[""cantonese_food"",""local_snack""]"
叁本寿司,土兴巷与中山七路交叉口东南80米,"113.245015,23.124966",192,333,4,B0LKKLO405,50202,unknown,unknown,['寿司'],[],https://amap.com/poi/B0LKKLO405,,,,food,"[""cantonese_food"",""local_snack""]"
大师卤肉饭(广州扬韬科技园店),世和街与世通街交叉口西北60米,"113.245675,23.125025",192,396,5,B0LB7UOFBG,050100|050300,unknown,unknown,['卤肉饭'],[],https://amap.com/poi/B0LB7UOFBG,,,,food,"[""cantonese_food"",""local_snack""]"
碧翠园烘焙店(陈家祠店),中山七路333号10号楼101-2铺,"113.245664,23.125019",193,396,5,B0KAAU52NQ,50800,unknown,unknown,['单人餐'],[],https://amap.com/poi/B0KAAU52NQ,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
咕噜咕噜·章鱼小丸子(陈家祠柏徳莱店),金花街道康王北路903号柏德莱商业地下城负一层1区1538门牌号,"113.247036,23.126502",193,427,6,B0H0MLOH63,50000,unknown,unknown,['章鱼小丸子'],13422200336;15814527216,https://amap.com/poi/B0H0MLOH63,,,,food,"[""cantonese_food"",""local_snack""]"
CHINA SUSHI,土兴巷与中山七路交叉口东南80米,"113.244825,23.124975",194,313,4,B0LK9A9RYW,50000,unknown,unknown,[],[],https://amap.com/poi/B0LK9A9RYW,,,,food,"[""cantonese_food"",""local_snack""]"
鲜之本物-手作糖水,金花街道龙源新街48号101,"113.245981,23.128264",194,280,4,B0L3OLZDQ0,50900,unknown,unknown,[],13825121985,https://amap.com/poi/B0L3OLZDQ0,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
虹达西饼(荔湾路店),荔湾路68号(陈家祠地铁站D口步行430米),"113.243564,23.127640",194,268,4,B0I13UVC2I,50800,unknown,unknown,['西饼'],15811978263,https://amap.com/poi/B0I13UVC2I,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
